Celda,Longitud_px,Longitud_mm,Longitud_cm,Long_r,Long_h,Estado
celda_01.jpg,128,27.23,2.72,0,0,GERMINADA
celda_02.jpg,155,32.97,3.3,0,0,GERMINADA
celda_03.jpg,139,29.57,2.96,0,0,GERMINADA
celda_04.jpg,115,24.46,2.45,0,0,GERMINADA
celda_05.jpg,109,23.18,2.32,0,0,GERMINADA
celda_06.jpg,78,16.59,1.66,0,0,GERMINADA
celda_07.jpg,75,15.95,1.6,0,0,GERMINADA
celda_08.jpg,72,15.31,1.53,0,0,GERMINADA
celda_09.jpg,108,22.97,2.3,0,0,GERMINADA
celda_10.jpg,63,13.4,1.34,0,0,GERMINADA
celda_11.jpg,63,13.4,1.34,0,0,GERMINADA
celda_12.jpg,70,14.89,1.49,0,0,GERMINADA
celda_13.jpg,46,9.78,0.98,0,0,GERMINADA
celda_14.jpg,N/G,N/G,N/G,0,0,NO GERMINADA
celda_15.jpg,N/G,N/G,N/G,0,0,NO GERMINADA
celda_16.jpg,N/G,N/G,N/G,0,0,NO GERMINADA
celda_17.jpg,N/G,N/G,N/G,0,0,NO GERMINADA
celda_18.jpg,N/G,N/G,N/G,0,0,NO GERMINADA
celda_19.jpg,N/G,N/G,N/G,0,0,NO GERMINADA
celda_20.jpg,11,2.34,0.23,0,0,GERMINADA
